OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, comb, down, 1, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0542796
2, comb, central, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0533588
2, comb, down, 1, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0533588
2, comb, central, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0601468
2, comb, down, 1, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0601468
2, comb, central, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0601997
2, comb, down, 1, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0601997
2, comb, central, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0569214
2, comb, down, 1, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0569214
2, comb, central, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.066376
2, comb, down, 1, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.066376
2, comb, central, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0789365
2, comb, down, 1, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0789365
2, comb, central, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0886047
2, comb, down, 1, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0886047
2, comb, central, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.0976155
2, comb, down, 1, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.0976155
2, comb, central, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.113088
2, comb, down, 1, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.113088
2, comb, central, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x)))
2, comb, up, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) + 0.107377
2, comb, down, 1, 0.0, 2.4, 500.0, 670.0, 0, 1, 0.793489*((1.+(0.0416329*x))/(1.+(0.034413*x))) - 0.107377
2, comb, central, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.20222+(-9.3295e-05*x))+(-8.28935e-07*(x*x)))+(1.0494e-09*(x*(x*x))))
